,CDK1,CDK2,PAK,PI3K,ERK,BET,Aurora,TGFbR,VEGFR,PKC,remod,FSS,OSS
CDK1,0.0,0.9826959854327917,0.9999999999999993,0.9999999999999993,0.04522756420723136,0.06017732015715447,0.019754054957538934,0.00018077340944513016,0.013147301149832853,9.31771856431757e-05,0.0,0.0,0.0
CDK2,0.999999999999999,0.0,0.999999999999999,0.014223441468803704,0.11595677179325857,0.0005409096977710072,0.005680598290031565,0.999999999999999,0.9818187093626555,0.0,0.0,0.0,0.0
PAK,1.0000000000000013,0.0,0.0,1.0000000000000013,1.0000000000000013,1.0000000000000013,1.0000000000000013,0.6401600346551908,0.7510112114760737,0.0,0.0,0.0,0.0
PI3K,0.9999999999999968,0.0,0.9999999999999968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.0,0.0,0.999999999999998,0.999999999999998,0.0,0.999999999999998,0.999999999999998,0.0,0.999999999999998,0.999999999999998,0.0,0.0,0.0
BET,1.0000000000000013,0.0,0.0,0.0,1.0000000000000013,0.0,0.0,1.0000000000000013,1.0000000000000013,0.12848313847133616,0.0,0.0,0.0
Aurora,0.9999999999999998,0.0,0.9999999999999998,0.0,0.9999999999999998,0.0,0.0,0.38811486362976433,0.06708630366699074,0.0,0.0,0.0,0.0
TGFbR,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.0,0.0,0.9999999999999994,0.2008572695621342,0.0,0.9999999999999994,0.0,0.0,0.0,0.0
VEGFR,0.9999999999999963,0.0,0.087997498240462,0.0,0.9999999999999963,0.9999999999999963,0.4017800248038872,0.9999999999999963,0.0,0.9999999999999963,0.0,0.0,0.0
PKC,0.005324042877876864,0.0039709708368278925,0.002586906294080279,0.0024805974266016275,0.011642961263133012,0.2476468166850114,0.8334329252955998,0.0018271834499113148,0.033748413096711595,0.0,0.0,0.0,0.0
remod,0.0,0.0,0.999999999999998,0.0,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.0,0.0,0.0
FSS,0.9999999999999992,0.9999999999999992,0.9999999999999992,0.033570336491641026,0.38854314145343316,0.0,0.9999999999999992,0.0,0.0,0.0001660904818921016,0.0,0.0,0.0
OSS,0.0,1.0000000000000009,1.0000000000000009,0.007073339818544269,1.0000000000000009,0.0,1.0000000000000009,0.0,0.6571571388016901,0.0,0.0,0.0,0.0
