,CDK1,CDK2,PAK,PI3K,ERK,BET,Aurora,TGFbR,VEGFR,PKC,remod,FSS,OSS
CDK1,0.0,0.13040163207209393,6.661338147750945e-16,6.661338147750945e-16,0.20780286726393377,0.23781507583805037,0.1391539876190168,0.013443984915923095,0.11390544158339601,0.009652383314770054,0.0,0.0,0.0
CDK2,9.9920072216264e-16,0.0,9.9920072216264e-16,0.11841087442286373,0.32017307642671067,0.023251174475063946,0.07515536636261495,9.9920072216264e-16,0.13360662898263675,0.0,0.0,0.0,0.0
PAK,1.33226762955019e-15,0.0,0.0,1.33226762955019e-15,1.33226762955019e-15,1.33226762955019e-15,1.33226762955019e-15,0.47995329427503225,0.43242730222930303,0.0,0.0,0.0,0.0
PI3K,3.2196467714129512e-15,0.0,3.2196467714129512e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.0,0.0,1.998401444325284e-15,1.998401444325284e-15,0.0,1.998401444325284e-15,1.998401444325284e-15,0.0,1.998401444325284e-15,1.998401444325284e-15,0.0,0.0,0.0
BET,1.3322676295501859e-15,0.0,0.0,0.0,1.3322676295501859e-15,0.0,0.0,1.3322676295501859e-15,1.3322676295501859e-15,0.33462698874999847,0.0,0.0,0.0
Aurora,2.2204460492503128e-16,0.0,2.2204460492503128e-16,0.0,2.2204460492503128e-16,0.0,0.0,0.48732095815736604,0.2501714042957168,0.0,0.0,0.0,0.0
TGFbR,5.551115123125793e-16,5.551115123125793e-16,5.551115123125793e-16,0.0,0.0,5.551115123125793e-16,0.40064151909927986,0.0,5.551115123125793e-16,0.0,0.0,0.0,0.0
VEGFR,3.6637359812630134e-15,0.0,0.28329126097337054,0.0,3.6637359812630134e-15,3.6637359812630134e-15,0.49025792851566896,3.6637359812630134e-15,0.0,3.6637359812630134e-15,0.0,0.0,0.0
PKC,0.0727715428262407,0.06289039853142096,0.05079580897973699,0.0497437841645443,0.10727256273697466,0.43164553845811016,0.37258889453232286,0.042706496584848576,0.18058088965935862,0.0,0.0,0.0,0.0
remod,0.0,0.0,1.9984014443252818e-15,0.0,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,0.0,0.0,0.0
FSS,7.771561172376102e-16,7.771561172376102e-16,7.771561172376102e-16,0.18012042915638152,0.4874190893706672,0.0,7.771561172376102e-16,0.0,0.0,0.012886539327683227,0.0,0.0,0.0
OSS,0.0,8.881784197001256e-16,8.881784197001256e-16,0.08380517694245182,8.881784197001256e-16,0.0,8.881784197001256e-16,0.0,0.4746594923981468,0.0,0.0,0.0,0.0
