,CDK1,CDK2,PAK,PI3K,ERK,BET,Aurora,TGFbR,VEGFR,PKC,remod,FSS,OSS
CDK1,0.0,-0.07447405156908558,0.2210334874598492,0.059185710513978175,-0.0011092701027578312,-0.0017651093862758747,0.0004948483735359442,-5.798433237727192e-06,0.00020551068022936405,6.579774316464867e-06,0.0,0.0,0.0
CDK2,-0.23857400324723865,0.0,0.10996254185546193,0.0005156315538032221,0.003984819756516585,1.706255317575013e-05,0.00014928935189922733,-0.14054762956747913,0.048605095388498235,0.0,0.0,0.0,0.0
PAK,0.41567753921618844,0.0,0.0,0.06702295952654376,0.19203884830834503,0.11082984869271514,0.13324518463871646,-0.07748408241278618,0.03884067708016349,0.0,0.0,0.0,0.0
PI3K,0.23539125096454147,0.0,0.19182964729507984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.0,0.0,0.26837074300240926,0.199399803687353,0.0,0.11867092318144438,0.2044130123382714,0.0,0.17953670807261604,0.5196538703860369,0.0,0.0,0.0
BET,-0.21723278168812832,0.0,0.0,0.0,-0.094598642548788,0.0,0.0,0.38616006759346894,-0.08742703821698135,0.03867442792746705,0.0,0.0,0.0
Aurora,-0.2817342045771168,0.0,0.3849972504256018,0.0,0.18663065368076237,0.0,0.0,-0.061037442726426756,0.004035327111129083,0.0,0.0,0.0,0.0
TGFbR,0.3521030842618365,-0.10225984347884037,-0.07769525749042026,0.0,0.0,0.15312152064362264,-0.005941601260371378,0.0,-0.11187716607191839,0.0,0.0,0.0,0.0
VEGFR,0.2525056656307461,0.0,0.011075631277291095,0.0,0.261531838760468,-0.21084295072659837,0.03096822567294742,-0.353630138419104,0.0,0.5658312948322299,0.0,0.0,0.0
PKC,-5.045936877627664e-05,-3.410721893305595e-05,1.5231424887020538e-05,9.58293463076494e-06,9.205326190144691e-05,0.0035803832275943187,0.010778368961258012,-2.7398640104900597e-05,-0.0003329571984796628,0.0,0.0,0.0,0.0
remod,0.0,0.0,-0.667728196583742,0.0,-0.32805717869545215,0.24425150172103838,0.18993746107224369,0.38364954369798276,-0.40781045643041275,1.0585422105482563,0.0,0.0,0.0
FSS,-1.1502365937084937,0.752840578079437,1.4403674535646271,0.007778196953276367,0.07593021004082917,0.0,0.5025428772517886,0.0,0.0,0.00016834454052953903,0.0,0.0,0.0
OSS,0.0,-0.7174381567770479,2.357561157334847,-0.0020966767902469868,0.886032487711984,0.0,0.49053925913707014,0.0,-0.1668073675204286,0.0,0.0,0.0,0.0
