,CDK1,CDK2,PAK,PI3K,ERK,BET,Aurora,TGFbR,VEGFR,PKC,remod,FSS,OSS
CDK1,-1.0,-0.07447405156908558,0.2210334874598492,0.059185710513978175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK2,-0.23857400324723865,-1.0,0.10996254185546193,0.0,0.0,0.0,0.0,-0.14054762956747913,0.048605095388498235,0.0,0.0,0.0,0.0
PAK,0.41567753921618844,0.0,-1.0,0.06702295952654376,0.19203884830834503,0.11082984869271514,0.13324518463871646,-0.07748408241278618,0.03884067708016349,0.0,0.0,0.0,0.0
PI3K,0.23539125096454147,0.0,0.19182964729507984,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.0,0.0,0.26837074300240926,0.199399803687353,-1.0,0.11867092318144438,0.2044130123382714,0.0,0.17953670807261604,0.5196538703860369,0.0,0.0,0.0
BET,-0.21723278168812832,0.0,0.0,0.0,-0.094598642548788,-1.0,0.0,0.38616006759346894,-0.08742703821698135,0.0,0.0,0.0,0.0
Aurora,-0.2817342045771168,0.0,0.3849972504256018,0.0,0.18663065368076237,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFbR,0.3521030842618365,-0.10225984347884037,-0.07769525749042026,0.0,0.0,0.15312152064362264,0.0,-1.0,-0.11187716607191839,0.0,0.0,0.0,0.0
VEGFR,0.2525056656307461,0.0,0.0,0.0,0.261531838760468,-0.21084295072659837,0.0,-0.353630138419104,-1.0,0.5658312948322299,0.0,0.0,0.0
PKC,0.0,0.0,0.0,0.0,0.0,0.0,0.010778368961258012,0.0,0.0,-1.0,0.0,0.0,0.0
remod,0.0,0.0,-0.667728196583742,0.0,-0.32805717869545215,0.24425150172103838,0.18993746107224369,0.38364954369798276,-0.40781045643041275,1.0585422105482563,-1.0,0.0,0.0
FSS,-1.1502365937084937,0.752840578079437,1.4403674535646271,0.0,0.0,0.0,0.5025428772517886,0.0,0.0,0.0,0.0,-1.0,0.0
OSS,0.0,-0.7174381567770479,2.357561157334847,0.0,0.886032487711984,0.0,0.49053925913707014,0.0,-0.1668073675204286,0.0,0.0,0.0,-1.0
