,CDK1,CDK2,PAK,PI3K,ERK,BET,Aurora,TGFbR,VEGFR,PKC,remod,FSS,OSS
CDK1,1.149524802345787,-0.08477199245440525,0.3055374521668172,0.1022544878106427,0.06912882956630448,0.035057612800537485,0.05653332440771522,-0.008208549137323322,0.018459936667639218,0.04773167043989224,-3.0184188481996443e-16,-2.185751579730777e-16,-2.0816681711721685e-16
CDK2,-0.25415414501657274,1.0393057348002803,0.10170601992260189,0.00344628269509738,0.055844021764321905,-0.03074532448462119,0.029798789966023666,-0.19930132876053058,0.08951906288964868,0.07848151920196667,3.5778671692021646e-16,4.2717565595928875e-16,2.6020852139652106e-18
PAK,0.4928587215071526,-0.027049314128846716,1.3290087734614273,0.18093139920698553,0.3144379198796626,0.14785800908466099,0.2478913447516703,-0.09450116764399011,0.10542918807530408,0.22877558287836175,-1.734723475976807e-16,-1.1102230246251565e-16,-1.6653345369377348e-16
PI3K,0.36513299595196247,-0.025143445739509253,0.3268641273472368,1.0587778182969667,0.07659083693604027,0.036615805065412066,0.060860359184731705,-0.020060346308157874,0.024569751548013642,0.055121556988755316,-2.7755575615628914e-17,1.1796119636642288e-16,-3.885780586188048e-16
ERK,0.20803119003383316,-0.006013824729681455,0.5716616690645454,0.2944053914330847,1.2225394034606403,0.14597197613814206,0.34254052132584234,-0.0929553289346434,0.24020615945752866,0.7768602464091543,-4.85722573273506e-17,-2.914335439641036e-16,-1.1102230246251565e-16
BET,-0.16106535296263835,-0.04000552483854547,-0.17657523468711658,-0.06147963730719254,-0.2010532624894965,1.0754522916378975,-0.07567981040800957,0.508573472289621,-0.19610119221608815,-0.17384685514747297,-3.469446951953614e-18,-3.608224830031759e-16,3.3306690738754696e-16
Aurora,-0.11495851923697131,0.021310121098382193,0.5380082715762571,0.09641093324568863,0.3367241163269819,0.06138090141164547,1.1466568817632063,-0.12474678333722734,0.09550315840785742,0.23139178093077498,-3.469446951953614e-17,-5.620504062164855e-16,-1.6653345369377348e-16
TGFbR,0.3394483033727168,-0.14440781121676133,-0.07253915639715984,-0.002035741176168785,-0.08620212250640386,0.195463000596651,-0.040867909801723855,1.1649961634798567,-0.17278829620223474,-0.13500263874561963,-1.0408340855860843e-17,-4.2500725161431774e-16,-2.2898349882893854e-16
VEGFR,0.25939492138369624,0.03690985371341111,0.3238159968431017,0.12194841305762866,0.4256042630372937,-0.24270163913114118,0.17934920332939785,-0.5501467975184268,1.1740357191497746,0.8760884133955179,1.734723475976807e-16,1.6653345369377348e-16,-4.579669976578771e-16
PKC,-0.0019305887210958397,4.574358704105899e-05,0.005117927453434451,0.0008132099009500598,0.0028828120139570007,0.0046028910111483665,0.012061554278464698,0.0006246004450923097,-3.895029629709043e-05,1.0016540265978913,7.112366251504909e-17,-1.8388068845354155e-16,-1.8041124150158794e-16
remod,-0.43611555841425304,-0.0560951447579493,-1.1703628084531064,-0.2637512770185053,-0.7997586258056391,0.3065611650623777,-0.1546404991827175,0.8660885333037309,-0.7240732038725743,0.24509447491481312,1.0,-9.71445146547012e-17,1.6653345369377348e-16
FSS,-0.8428013665398917,0.851035481942647,1.9557109339198118,0.22462575675173874,0.6780754860083118,0.19171478447185925,0.9171905014378265,-0.34662141340841046,0.26444149750491786,0.5095710843711233,4.163336342344337e-17,1.0,-3.885780586188048e-16
OSS,1.4281806353241282,-0.8103871139502185,3.7759764498991903,0.7096686247093724,1.878473508837753,0.570495473011887,1.3989780912188596,-0.13154994112476084,0.24812055426412566,1.1386233869391447,-8.847089727481716e-16,-1.0547118733938987e-15,0.9999999999999993
