,CDK1,CDK2,PAK,PI3K,ERK,BET,Aurora,TGFbR,VEGFR,PKC,remod,FSS,OSS
CDK1,1.1506484504844878,-0.08538037816576063,0.30489566823036973,0.10245680644593284,0.06980874636367859,0.03797028363997419,0.05539189042296,-0.0030615524418881115,0.01724855365671253,0.04603615668424273,7.632783294297951e-17,3.2612801348363973e-16,9.71445146547012e-17
CDK2,-0.25469827613105195,1.0391124635134288,0.09562265146269464,0.0010614313270287524,0.04878147564767436,-0.032296990534129114,0.023521768309367346,-0.19698886950140798,0.08784046118141602,0.07505236451239705,-5.9631119486702744e-18,-2.949029909160572e-16,3.2873009869760494e-16
PAK,0.4976586688443412,-0.02927856960256768,1.3243823800475771,0.18040048008255857,0.31184670379850055,0.1507657153851066,0.24257780450027605,-0.07612066965816362,0.10133991614906167,0.21939364256883126,-1.249000902703301e-16,3.191891195797325e-16,2.220446049250313e-16
PI3K,0.3663182650977037,-0.025714291704429182,0.3258255776067619,1.0587235963052406,0.07625381133461248,0.03785920657200755,0.05957238105885421,-0.015322863871580286,0.023500158994369948,0.05292271358426531,-9.020562075079397e-17,8.673617379884035e-17,3.191891195797325e-16
ERK,0.21470469175881007,-0.008964384390014762,0.5626797812707915,0.29320451458383695,1.2175769291406242,0.146812158171863,0.3321150229938988,-0.06870286181896745,0.23486983192669994,0.7656152648367833,-2.636779683484747e-16,3.3306690738754696e-16,4.718447854656915e-16
BET,-0.16233951595462193,-0.03931541301232577,-0.1687592277814476,-0.060220124132077196,-0.19709749415853198,1.0758146745549728,-0.06506364750998038,0.5026948286486197,-0.19414725083576692,-0.21227706601139018,4.701100619897147e-16,-1.6306400674181987e-16,2.3592239273284576e-16
Aurora,-0.09250932981832849,0.011109375217086784,0.5289973316540584,0.09530905215861969,0.32762979007954396,0.07474650727073803,1.139768841397104,-0.041265764487974796,0.07798999179354145,0.21438326650909392,3.469446951953614e-17,3.3306690738754696e-16,3.0531133177191805e-16
TGFbR,0.33850755695284085,-0.1440262486444926,-0.06307666362056463,-0.00023878948600586716,-0.08047156912380543,0.19745838967229767,-0.026348630489254565,1.1619049604358838,-0.1711517868893338,-0.13866039953966483,-8.066464163292153e-17,-3.5561831257524545e-17,-1.0755285551056204e-16
VEGFR,0.2606548438568246,0.03538565195322792,0.28526028069318743,0.1159159367486432,0.4080741548583481,-0.24821555326713868,0.13083245215331218,-0.5358669871980779,1.1677159464283078,0.8727875399404232,-4.996003610813204e-16,1.0408340855860843e-16,2.7755575615628914e-17
PKC,-0.0009970996891413009,0.00011974094501914292,0.005701728420087621,0.001027276129513019,0.0035313147601764155,0.0008056454339291225,0.012284849103122934,-0.00044477763512010965,0.0008406049068363404,1.0023107019455542,4.336808689942018e-17,9.020562075079397e-17,-1.734723475976807e-16
remod,-0.4374437718743941,-0.054561297617698915,-1.1441578227768932,-0.2595283568377793,-0.7871276201837047,0.3059657388664615,-0.120795301810459,0.8521380893848061,-0.718305052676953,0.2430688181913107,1.0000000000000004,-5.828670879282072e-16,-3.885780586188048e-16
FSS,-0.844943706871423,0.8439047017155246,1.894727574745825,0.19068938594349605,0.5702499597304872,0.1867320596423246,0.8761782498092936,-0.2751592558753823,0.23144997781093252,0.4272942392950799,-4.996003610813204e-16,1.0000000000000004,1.1102230246251565e-16
OSS,1.4573677347550764,-0.8229206875082085,3.76417212690641,0.7117495783097314,1.8716581984237126,0.5867611088571505,1.3865588415677308,-0.029860686250153062,0.22747078266984494,1.101324514345216,-5.689893001203927e-16,1.0269562977782698e-15,1.000000000000001
