From	To	Strength
CDK2	CDK1	-0.07447405156908558
PAK	CDK1	0.2210334874598492
PI3K	CDK1	0.059185710513978175
ERK	CDK1	-0.0011092701027578312
BET	CDK1	-0.0017651093862758747
Aurora	CDK1	0.0004948483735359442
TGFbR	CDK1	-5.798433237727192e-06
VEGFR	CDK1	0.00020551068022936405
PKC	CDK1	6.579774316464867e-06
CDK1	CDK2	-0.23857400324723865
PAK	CDK2	0.10996254185546193
PI3K	CDK2	0.0005156315538032221
ERK	CDK2	0.003984819756516585
BET	CDK2	1.706255317575013e-05
Aurora	CDK2	0.00014928935189922733
TGFbR	CDK2	-0.14054762956747913
VEGFR	CDK2	0.048605095388498235
CDK1	PAK	0.41567753921618844
PI3K	PAK	0.06702295952654376
ERK	PAK	0.19203884830834503
BET	PAK	0.11082984869271514
Aurora	PAK	0.13324518463871646
TGFbR	PAK	-0.07748408241278618
VEGFR	PAK	0.03884067708016349
CDK1	PI3K	0.23539125096454147
PAK	PI3K	0.19182964729507984
PAK	ERK	0.26837074300240926
PI3K	ERK	0.199399803687353
BET	ERK	0.11867092318144438
Aurora	ERK	0.2044130123382714
VEGFR	ERK	0.17953670807261604
PKC	ERK	0.5196538703860369
CDK1	BET	-0.21723278168812832
ERK	BET	-0.094598642548788
TGFbR	BET	0.38616006759346894
VEGFR	BET	-0.08742703821698135
PKC	BET	0.03867442792746705
CDK1	Aurora	-0.2817342045771168
PAK	Aurora	0.3849972504256018
ERK	Aurora	0.18663065368076237
TGFbR	Aurora	-0.061037442726426756
VEGFR	Aurora	0.004035327111129083
CDK1	TGFbR	0.3521030842618365
CDK2	TGFbR	-0.10225984347884037
PAK	TGFbR	-0.07769525749042026
BET	TGFbR	0.15312152064362264
Aurora	TGFbR	-0.005941601260371378
VEGFR	TGFbR	-0.11187716607191839
CDK1	VEGFR	0.2525056656307461
PAK	VEGFR	0.011075631277291095
ERK	VEGFR	0.261531838760468
BET	VEGFR	-0.21084295072659837
Aurora	VEGFR	0.03096822567294742
TGFbR	VEGFR	-0.353630138419104
PKC	VEGFR	0.5658312948322299
CDK1	PKC	-5.045936877627664e-05
CDK2	PKC	-3.410721893305595e-05
PAK	PKC	1.5231424887020538e-05
PI3K	PKC	9.58293463076494e-06
ERK	PKC	9.205326190144691e-05
BET	PKC	0.0035803832275943187
Aurora	PKC	0.010778368961258012
TGFbR	PKC	-2.7398640104900597e-05
VEGFR	PKC	-0.0003329571984796628
PAK	remod	-0.667728196583742
ERK	remod	-0.32805717869545215
BET	remod	0.24425150172103838
Aurora	remod	0.18993746107224369
TGFbR	remod	0.38364954369798276
VEGFR	remod	-0.40781045643041275
PKC	remod	1.0585422105482563
CDK1	FSS	-1.1502365937084937
CDK2	FSS	0.752840578079437
PAK	FSS	1.4403674535646271
PI3K	FSS	0.007778196953276367
ERK	FSS	0.07593021004082917
Aurora	FSS	0.5025428772517886
PKC	FSS	0.00016834454052953903
CDK2	OSS	-0.7174381567770479
PAK	OSS	2.357561157334847
PI3K	OSS	-0.0020966767902469868
ERK	OSS	0.886032487711984
Aurora	OSS	0.49053925913707014
VEGFR	OSS	-0.1668073675204286
