From	To	Strength
CDK2	CDK1	-0.07447405156908558
PAK	CDK1	0.2210334874598492
PI3K	CDK1	0.059185710513978175
CDK1	CDK2	-0.23857400324723865
PAK	CDK2	0.10996254185546193
TGFbR	CDK2	-0.14054762956747913
VEGFR	CDK2	0.048605095388498235
CDK1	PAK	0.41567753921618844
PI3K	PAK	0.06702295952654376
ERK	PAK	0.19203884830834503
BET	PAK	0.11082984869271514
Aurora	PAK	0.13324518463871646
TGFbR	PAK	-0.07748408241278618
VEGFR	PAK	0.03884067708016349
CDK1	PI3K	0.23539125096454147
PAK	PI3K	0.19182964729507984
PAK	ERK	0.26837074300240926
PI3K	ERK	0.199399803687353
BET	ERK	0.11867092318144438
Aurora	ERK	0.2044130123382714
VEGFR	ERK	0.17953670807261604
PKC	ERK	0.5196538703860369
CDK1	BET	-0.21723278168812832
ERK	BET	-0.094598642548788
TGFbR	BET	0.38616006759346894
VEGFR	BET	-0.08742703821698135
CDK1	Aurora	-0.2817342045771168
PAK	Aurora	0.3849972504256018
ERK	Aurora	0.18663065368076237
CDK1	TGFbR	0.3521030842618365
CDK2	TGFbR	-0.10225984347884037
PAK	TGFbR	-0.07769525749042026
BET	TGFbR	0.15312152064362264
VEGFR	TGFbR	-0.11187716607191839
CDK1	VEGFR	0.2525056656307461
ERK	VEGFR	0.261531838760468
BET	VEGFR	-0.21084295072659837
TGFbR	VEGFR	-0.353630138419104
PKC	VEGFR	0.5658312948322299
Aurora	PKC	0.010778368961258012
PAK	remod	-0.667728196583742
ERK	remod	-0.32805717869545215
BET	remod	0.24425150172103838
Aurora	remod	0.18993746107224369
TGFbR	remod	0.38364954369798276
VEGFR	remod	-0.40781045643041275
PKC	remod	1.0585422105482563
CDK1	FSS	-1.1502365937084937
CDK2	FSS	0.752840578079437
PAK	FSS	1.4403674535646271
Aurora	FSS	0.5025428772517886
CDK2	OSS	-0.7174381567770479
PAK	OSS	2.357561157334847
ERK	OSS	0.886032487711984
Aurora	OSS	0.49053925913707014
VEGFR	OSS	-0.1668073675204286
