,CDK1,CDK2,PAK,PI3K,ERK,BET,Aurora,TGFbR,VEGFR,PKC,remod,FSS,OSS
CDK1,0.0,0.0216503751903851,0.014398845870829258,0.012908038861567548,0.005635111958337988,0.007597488696338548,0.0038766485128584305,0.00043538770159212703,0.0022099807398951875,0.0006816100249090267,0.0,0.0,0.0
CDK2,0.015529791972047036,0.0,0.015048708824690747,0.0044647385946138445,0.011529822773289811,0.0007344314754269125,0.002065492565871084,0.018680213407514593,0.011198896958619104,0.0,0.0,0.0,0.0
PAK,0.030716414997740506,0.0,0.0,0.014341655583905,0.012845988968148194,0.01643201733800316,0.012171683722890908,0.06280554582779597,0.02536766382816583,0.0,0.0,0.0,0.0
PI3K,0.005438188896266049,0.0,0.0048196302274550245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.0,0.0,0.02861395938634892,0.02503451828364111,0.0,0.023345256027772567,0.019824881691791696,0.0,0.020397921530275736,0.08419427584590024,0.0,0.0,0.0
BET,0.017094606841752586,0.0,0.0,0.0,0.009818062591104496,0.0,0.0,0.024081342008380965,0.010866978699029375,0.1020586506261735,0.0,0.0,0.0
Aurora,0.03294099248072383,0.0,0.0174761534784118,0.0,0.012858018202097164,0.0,0.0,0.0783209212882432,0.015288080923121379,0.0,0.0,0.0,0.0
TGFbR,0.013157955625079267,0.013836355280071697,0.01397242217493012,0.0,0.0,0.00834276691809678,0.012508214393027234,0.0,0.007057627271976973,0.0,0.0,0.0,0.0
VEGFR,0.0325943685190908,0.0,0.03631641168085369,0.0,0.021868873944330135,0.019329125454714942,0.03951911398550991,0.03474726301640516,0.0,0.0667713382693164,0.0,0.0,0.0
PKC,0.00078229494239519,0.0007583421380067525,0.00034713829338507517,0.000291858077410492,0.0009538633578185219,0.006534520409351856,0.005989736450845907,0.0006608322979423617,0.0019406163977306154,0.0,0.0,0.0,0.0
remod,0.0,0.0,0.050660640004743004,0.0,0.034645374166632485,0.040135040477383276,0.036909133249960785,0.06759246931349545,0.03433029241291295,0.1489755310946163,0.0,0.0,0.0
FSS,0.06083074350978729,0.0706412763643315,0.08819756693506843,0.042280068868695966,0.09817306279586185,0.0,0.05026651510762566,0.0,0.0,0.013061426021654712,0.0,0.0,0.0
OSS,0.0,0.08406643377264553,0.06651113790076787,0.024909585632243575,0.06314207580439343,0.0,0.047310313986514196,0.0,0.12647369275856368,0.0,0.0,0.0,0.0
