"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",9.6818029957394,0.446674646304386,0.488695353054433,0.914014515408402,0.360709218546667,0.501750287515876
"A1BG-AS1",4.04523189692032,-0.0950612379363549,0.792883243002002,-0.119893110083189,0.904567822463499,0.944593660049357
"A2M",1227.90623705022,-1.04368667531712,0.488387382213133,-2.13700581408889,0.0325975187326656,0.0736962793399066
"A2M-AS1",33.5390001567631,-1.32197833449247,0.364990184636174,-3.62195585015589,0.000292384030000657,0.00121608946378642
"A2ML1",0.868252665702116,-1.08133857957185,1.87887846737896,-0.575523429719392,0.564937349567926,NA
"A3GALT2",0.881416382858161,-0.408023672354037,1.98693285233,-0.205353528618526,0.837295925276781,NA
"A4GALT",504.229140473435,-0.340293231771231,0.219729546480908,-1.54869127625855,0.1214559519835,0.218389829957761
"AAAS",944.798772116591,-0.426487733739928,0.147653898767162,-2.88842852983153,0.00387172003323246,0.0118598600861278
"AAAS_1",93.0090506638308,-0.729359991930117,0.199417474649935,-3.65745275438105,0.000254734194250056,0.00107300318346522
"AACS",1207.00601914882,-0.4083613043114,0.0921511020758114,-4.43143158478394,9.36095146737957e-06,5.6247233484065e-05
"AADAC",8.52114608293951,2.63588703832304,1.02550068658674,2.57034156368659,0.0101598287841244,0.027287527320585
"AADACP1",23.2609195752126,0.107669310123438,0.422241606917899,0.254994553732772,0.798727305715904,0.873498607808097
"AADAT",118.16034088685,-0.245405350925702,0.214620641363137,-1.14343778569964,0.252856871711054,0.386543221010278
"AAGAB",1750.05340300899,-0.0369944678064409,0.072807848140421,-0.508110990110454,0.611375508341083,0.729632004205592
"AAK1",4650.37130167753,-0.226736473593843,0.131107390529105,-1.72939506063549,0.0837384134374476,0.161660414979479
"AAMDC",525.90062432194,-0.10411713321998,0.107452105362818,-0.96896317543917,0.332563562707588,0.473665819914669
"AAMP",2339.16639183349,-0.0306520016112723,0.078866733146787,-0.388655652240884,0.697530892438526,0.800522014733534
"AANAT",1.15854608547477,2.19471314581144,1.86202017859067,1.17867312666427,0.23852836045026,0.369406369541309
"AAR2",1217.38996274439,-0.0873399606274934,0.0850019961487034,-1.02750481853038,0.304182817668818,0.44339281283012
"AARD",1.14068384882874,0.390986027338003,1.53978648821669,0.253922235537231,0.799555636180865,0.874078484179827
"AARS1",4460.51846861813,0.377445973368411,0.129111616392397,2.92340831843723,0.00346222167704119,0.0107571915364281
"AARS2",485.742988541266,-1.01550675693039,0.217921310405522,-4.65996994530122,3.16255558084322e-06,2.13120450489573e-05
"AARSD1",6.94798647386976,-0.215455809656261,0.609670770741533,-0.353396980790477,0.723790848973692,0.820011081132065
"AASDH",359.887040702092,-0.673124970044558,0.12854661420913,-5.23642706722296,1.63714891798181e-07,1.49782524641253e-06
"AASDHPPT",1937.31128696171,-0.518085679879937,0.125164498561746,-4.13923824912984,3.48460925540501e-05,0.000182704434316698
"AASS",1347.01303590268,-0.354698058290407,0.149753549679885,-2.36854524683131,0.0178581958746026,0.0443252099065103
"AATBC",28.4235941398153,-3.48091143936528,0.653841710470722,-5.32378308636698,1.01631089792574e-07,9.75874786882608e-07
"AATF",1037.95010628335,0.0615267729974484,0.0809141919961001,0.76039532101382,0.447018319290507,0.586178977802935
"AATF_1",911.702415517938,0.220152173735957,0.0831451544237365,2.6478052180165,0.00810161895642574,0.0224007281329367
"AATK",76.7922007299191,-0.0989934380427166,0.259828322723616,-0.380995562781729,0.703206541068537,0.805106107686355
"ABALON",40.9781276014659,-0.925668402678351,0.273864618490256,-3.38002188008557,0.000724800595373516,0.00272736162436188
"ABAT",121.347877686229,-1.80753219086553,0.276429493182241,-6.53885433879476,6.19918639804302e-11,1.34648624560457e-09
"ABCA1",1370.73148502877,-1.80882360584606,0.267519419940277,-6.76146653670928,1.36601870527916e-11,3.59436003665354e-10
"ABCA10",11.5812206851879,0.397656495804157,0.52067540225248,0.763732056640022,0.445026933264888,0.584323288304315
"ABCA11P",136.34922894293,0.159334769357758,0.204978044709725,0.777326028177289,0.43696644251642,0.57689997796883
"ABCA12",2.53013782164899,-0.931396756713304,1.1125763095462,-0.837153145111643,0.402506490718285,0.544175970218981
"ABCA13",8.65638764212198,-2.15017517387593,0.822715443073766,-2.61351016560795,0.00896174176452482,0.0244361895050823
"ABCA17P",1.49842481010075,0.075847410659048,1.23303042513794,0.0615130082054242,0.95095065497531,0.972211831092212
"ABCA2",830.010770835252,-0.131113371420328,0.207579216453383,-0.631630534407438,0.527628329296124,0.660817156894206
"ABCA3",2502.19602783107,-0.642956188282966,0.147514897403619,-4.35858479109238,1.30906203825706e-05,7.5859627701171e-05
"ABCA4",100.01383148923,-0.167510538610717,0.258187182417227,-0.648794944204557,0.5164709257852,0.650594725436001
"ABCA5",563.43513566671,-0.176298090039705,0.143094953433702,-1.23203569244939,0.21793575149826,0.344962001258177
"ABCA6",1335.01466939983,-0.310379190326283,0.146806791387312,-2.11420185260658,0.0344980307189991,0.0773074899318191
"ABCA7",154.936345587815,-0.140058108596533,0.215283544317955,-0.6505750778131,0.515320822574535,0.649494726840396
"ABCA8",224.751055205976,-0.290234475956136,0.205351896471747,-1.41335181677306,0.157552305370612,0.2684775518948
"ABCA9",185.952470773179,-0.281185539084826,0.263310900016915,-1.06788415924583,0.285572768852903,0.423048058841263
"ABCA9-AS1",1.06343705844901,-0.474760602158114,2.08407610019635,-0.227803870556063,0.819798717537832,0.88760446395285
"ABCB1",173.932862792883,0.158639841005458,0.21671403767085,0.732023835236757,0.464154019782131,0.602019517640673
"ABCB10",1103.63398883373,-0.638262593498202,0.180939318139698,-3.52749529544164,0.000419511216246134,0.00167847417886778
"ABCB11",22.6033338236601,-0.929977072113303,0.486727820209468,-1.91067170089657,0.0560467837105801,0.115765206681587
"ABCB11_1",1.45124477855332,0.390280891285739,1.6731021863256,0.233267815005884,0.815553449168961,0.884641302626721
"ABCB4",17.9222034724926,-0.549093398809864,0.538856915201957,-1.01899666371372,0.308204550424057,0.447863615427587
"ABCB6",464.189772563347,-0.37084741429484,0.106948994531146,-3.4675166037848,0.000525291289242821,0.00204927375071646
"ABCB7",967.072018108234,0.16860716426828,0.116912827590053,1.44216137564896,0.149256853913518,0.257313159261467
"ABCB8",532.49260265341,-0.193295321267285,0.113606363128072,-1.70144801703913,0.0888588912401944,0.169688364597239
"ABCB9",307.953880432437,-0.292050092151661,0.149392369282216,-1.95491974292175,0.0505925438759205,0.10651587634548
"ABCC1",3279.73752255949,0.7081610891927,0.129717118643816,5.45927242754446,4.78089699105389e-08,5.00447486015806e-07
"ABCC1_1",1840.43658105415,0.639772591737836,0.138956149851765,4.60413297590881,4.14187763597217e-06,2.72615503885059e-05
"ABCC10",500.180416139461,-1.07246393360807,0.170337592098678,-6.29610833636051,3.05211099180658e-10,5.49473673413652e-09
"ABCC11",1.6841021819634,-0.0148314436639085,1.40987153429265,-0.0105197128271333,0.991606638359099,0.99586712414152
