"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",11.2979466684282,-0.745053056072462,0.662667899719264,-1.12432344525531,0.260875835683606,0.394046809783288
"A1BG-AS1",2.15567318394462,-1.12795967190585,1.48701108181702,-0.758541537247699,0.448126856446496,0.586998775867999
"A2M",1280.84188980417,-0.29960738958508,0.233754808791234,-1.28171647520055,0.199942123377229,0.323180657075225
"A2M-AS1",18.9897316667533,-1.27086696700709,0.528223309065908,-2.40592746513675,0.0161314672571756,0.0401374714102195
"A4GALT",456.686422134524,-0.327312554252774,0.170279014585194,-1.92221311034786,0.0545789478326409,0.1127313467934
"AAAS",952.801905283591,-0.86743213438982,0.213295943395876,-4.06680089916136,4.76629311658858e-05,0.000220506527701516
"AAAS_1",95.7369858754126,-0.754502537831979,0.267939868855218,-2.81593978923561,0.00486347805872876,0.0141130704626744
"AACS",1536.25511340028,-0.405587051022764,0.198258966360191,-2.04574379897606,0.0407815840623938,0.08808253073193
"AADAC",3.29734016669557,1.69370084502988,1.25219621644141,1.35258422185876,0.17618849586208,0.292512645941856
"AADACP1",14.6042729623836,-1.06994495666309,0.656229784674114,-1.63044253956627,0.103008000121155,0.190119982687445
"AADAT",49.1367349796429,-0.372279882649021,0.332784054517109,-1.11868305465904,0.263275376846587,0.396589858495825
"AAGAB",1963.07530991859,-0.062638364794187,0.134942974317648,-0.464183964455533,0.642515948939169,0.753479706137577
"AAK1",3319.28565714449,1.1726707321555,0.235786847895178,4.97343572223684,6.57765901560381e-07,4.14798449006771e-06
"AAMDC",625.383703251433,-0.1779153260372,0.195579338719495,-0.909683646555176,0.362989371038768,0.504517408876518
"AAMP",2471.38244310448,-0.156205561199851,0.13904424310377,-1.12342343496575,0.261257701430015,0.394510374110604
"AAR2",1581.39092172966,0.114651051014462,0.140982566958145,0.813228567816476,0.416087023202901,0.557661520337518
"AARD",2.6970423082762,3.87477349035691,1.61629982545352,2.39731108630769,0.0165158950626277,0.0410072648110772
"AARS1",6753.8600739081,1.01487965903601,0.153987309641832,6.5906707597956,4.37843883180991e-11,4.7779231420217e-10
"AARS2",344.707256832094,-0.784908758782935,0.19563572113931,-4.01209326298855,6.01827133626497e-05,0.000273557788012044
"AARSD1",7.22486792438429,-0.456551234810477,0.846248206106394,-0.539500387139464,0.589541629915738,0.710962549969996
"AASDH",291.461248066613,-0.785347538972768,0.180283434318183,-4.3561824853342,1.32350448210784e-05,6.77688381132816e-05
"AASDHPPT",1379.49136757325,-0.750306840307506,0.143190011117489,-5.23993841785425,1.60630192056317e-07,1.11372382832196e-06
"AASS",668.68552195377,-0.61486108954813,0.207794134483062,-2.95899155708965,0.00308647557394956,0.00941189494881039
"AATBC",11.0591856072076,-3.06605229284719,0.779423427027213,-3.93374408123884,8.36328285399398e-05,0.000370002320463584
"AATF",1084.32607375838,0.667185227926407,0.138433751331338,4.81952718545867,1.43898844628511e-06,8.57607780133113e-06
"AATF_1",974.81788097539,0.620227291458977,0.145790254942649,4.25424382242121,2.0975664558985e-05,0.00010362303190956
"AATK",38.3397032041409,-1.25801867622691,0.391638646900573,-3.21219237729185,0.00131726135665337,0.00440762224726648
"ABALON",43.2016135803209,-1.19033633922665,0.343478357326474,-3.46553520429017,0.000529177242091708,0.00194288193676204
"ABAT",87.0397298853985,-1.35176216730152,0.291532541976903,-4.63674538058469,3.53937962098513e-06,1.98889324670948e-05
"ABCA1",461.334096123738,-3.48599812700501,0.340015992406595,-10.2524534282388,1.15377124647757e-24,4.21647304485291e-23
"ABCA10",2.64572159632726,0.0699035318093146,1.23139164649297,0.0567679113370645,0.954730075744264,0.970892205978467
"ABCA11P",132.262130687902,0.448210054850082,0.217942789904944,2.05654912945535,0.0397296158305156,0.0860665239510501
"ABCA12",1.80548571946434,-0.734979262667401,1.52417006937033,-0.482216044939814,0.629652479967593,0.743197527381285
"ABCA13",4.78939452552267,-1.60322207359051,1.08102224659477,-1.48306112907544,0.138058170297892,0.240992162266409
"ABCA2",873.713054207913,0.359629638610545,0.176217118356543,2.04083259313605,0.0412674697042575,0.0889858878584943
"ABCA3",2407.11687450448,-0.256779909815736,0.155498999123727,-1.65132837679182,0.098671540975818,0.183443801821685
"ABCA4",55.2837035072182,-1.08411791123994,0.377358339543563,-2.87291361455333,0.00406705308273383,0.0120443820190696
"ABCA5",347.750492940126,-0.16072419903036,0.181465098933939,-0.885703090977678,0.375777542264938,0.517745599206503
"ABCA6",790.581723237984,-0.751895877146196,0.208002445397815,-3.61484152606071,0.000300531399590805,0.00117499739253091
"ABCA7",147.648875063965,-0.320546476335771,0.259439604099746,-1.2355340945268,0.216631795594371,0.343251734833384
"ABCA8",185.622113662177,-0.695662369728434,0.242416095129273,-2.86970371896082,0.00410856575421172,0.0121513066247911
"ABCA9",103.992474852532,-0.687121230752625,0.409295580476972,-1.67878976350512,0.0931930243150642,0.175450600289071
"ABCB1",211.598885120407,1.95041677892594,0.30523360124425,6.38991503876142,1.65977948452011e-10,1.70181968578414e-09
"ABCB10",809.128709206082,-0.567829937257835,0.146512650334459,-3.87563760509139,0.000106345860275923,0.00045853755813359
"ABCB11",12.2279732300611,0.711734053874345,0.592508244343784,1.2012221950812,0.229665021989902,0.358402640091426
"ABCB4",6.92239343346323,1.62375277654717,1.0657515078279,1.5235753969108,0.127614812991375,0.226194999450021
"ABCB6",539.82294054352,-1.09216561281102,0.242608198729966,-4.50176712299261,6.739079819298e-06,3.60593874418462e-05
"ABCB7",1425.15549520537,0.036116420144644,0.18560809328002,0.194584295902208,0.845718398113956,0.899073371271226
"ABCB8",543.760856694965,-0.461775099156191,0.229437937033933,-2.01263620622555,0.044152915092536,0.0943097759284178
"ABCB9",253.216214765707,-1.05672869196533,0.210293162634865,-5.02502639042117,5.03363312802861e-07,3.23437049282669e-06
"ABCC1",2106.27793022808,0.655899332850793,0.207331349238818,3.16353187908542,0.00155867280254557,0.00512817481925357
"ABCC1_1",1269.22618309663,0.642433048245463,0.213394474957289,3.0105420881869,0.00260781803391315,0.00812530633716279
"ABCC10",397.928970323722,-1.28465343047122,0.173445408653131,-7.40667303013113,1.29507236835606e-13,1.8774981648688e-12
