"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",5.49366529615012,-0.229872284242903,0.930915431038754,-0.246931436066541,0.804961287040511,0.872212954670494
"A1BG-AS1",1.65697787605968,-0.0494918109315145,2.23850349230121,-0.0221093293361969,0.982360744561974,0.988974658485757
"A2M",1282.32144556286,-0.821211239899974,0.182093965903562,-4.50982126631747,6.48822675371652e-06,4.03376885550532e-05
"A2M-AS1",22.571180414488,-0.0995101516150657,0.53176823887152,-0.187130679008282,0.851558174641449,0.904249754034176
"A4GALT",182.919818470521,-0.603019506461447,0.201066405291925,-2.99910621859446,0.00270772890019061,0.00904325421485897
"AAAS",456.041515157897,-1.07142152449279,0.207222015740433,-5.17040392964259,2.33588536258221e-07,1.92162478695274e-06
"AAAS_1",48.1062090204655,-1.02412551832493,0.361458557866854,-2.83331379499991,0.00460681386154585,0.0143753516477515
"AACS",718.540754903762,-0.417948193000011,0.162109474999857,-2.57818485317024,0.0099320850236786,0.0279035147565417
"AADAC",1.89907589939185,0.286267654130903,1.53732834640963,0.186211133619874,0.852279193292023,0.904779164480402
"AADACP1",7.58836333624752,-1.29169743393405,0.842435281019803,-1.53328981232884,0.125204463641515,0.22693030058947
"AADAT",43.9038241480994,-0.261762064099239,0.340966109116533,-0.767706986414228,0.442661284595189,0.585302983324302
"AAGAB",1268.05187616764,0.254053512432026,0.15882855734065,1.59954555204541,0.109699435549728,0.204271378201563
"AAK1",3809.29820100992,-0.0323227560726482,0.188553996269124,-0.17142440209283,0.863890068670723,0.913280415722312
"AAMDC",309.267981921805,0.203949846009436,0.193510788329996,1.05394561083405,0.291907819038401,0.432629258645347
"AAMP",1303.489044953,0.0241213040015677,0.144257883340917,0.167209607148908,0.867205125430191,0.915653345314038
"AAR2",888.221583762499,0.465951711930851,0.15390521098771,3.02752394763332,0.00246566176630213,0.00834860101224111
"AARS1",3158.1234543257,0.236971330877294,0.208962140693425,1.13403954463198,0.256777960693679,0.394011665937271
"AARS2",247.654679276031,-1.39723533917382,0.253192480585274,-5.51847091171113,3.41962059998192e-08,3.20319689181172e-07
"AARSD1",2.57911938088839,-0.0408772475876029,1.46165791009697,-0.027966357452881,0.977688983509124,0.986322212949774
"AASDH",208.819605203644,-0.798860967195413,0.215963462093499,-3.6990561248252,0.000216402747787561,0.000955027404298575
"AASDHPPT",1191.95774352041,-0.411386229053754,0.139895604707006,-2.94066586234323,0.00327507609632509,0.0106761784046395
"AASS",729.62962062006,-0.7409088721363,0.185857788092471,-3.98642897744844,6.70751934843324e-05,0.000336136307219661
"AATBC",13.0758360597572,-2.77202069604167,0.707508492225308,-3.9180034254047,8.9285437803807e-05,0.000433033308652091
"AATF",729.363556070198,0.148650615758317,0.161185404694557,0.922233722339855,0.356406676677054,0.500682935680062
"AATF_1",668.09005191463,0.212069025533265,0.143992167772396,1.47278167148977,0.140809916033517,0.248396118360305
"AATK",20.972516828277,-1.18820338069538,0.523206434698855,-2.27100299593845,0.0231467965858046,0.0573131931534059
"ABALON",22.3252781928367,-0.679653582884564,0.478648204870955,-1.41994386684851,0.155624023651127,0.268679017316352
"ABAT",83.7298472578171,-0.330106717405684,0.355050342741083,-0.929746229385873,0.352502492545743,0.496708057678093
"ABCA1",658.788259168701,-2.99215504013015,0.586520663324524,-5.10153388828618,3.36911678181094e-07,2.6857843541712e-06
"ABCA10",3.63973376752961,-0.67386572164634,1.14814031509725,-0.586919310109987,0.5572579002234,0.686393182722929
"ABCA11P",82.1242720162484,0.189941315201642,0.317632134378848,0.597991495958321,0.549845607401353,0.680518046483784
"ABCA13",3.72906089552258,-2.07592253718535,1.2961020182327,-1.60166600158217,0.109229487148327,0.203545390877703
"ABCA17P",1.91298663090648,-0.581691485445727,1.43387171080808,-0.405678890978262,0.684978554329026,0.788683268080346
