"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",15.6354417339199,-0.241953907694245,0.643012198630652,-0.376281986888438,0.706707269347017,0.849096881308212
"A1BG-AS1",8.03879981519509,-0.920693136269815,0.782650584818303,-1.17637826397786,0.239443753595282,0.469698920709481
"A2M",1114.50237270816,0.282508724396707,0.534453041403436,0.528594099969679,0.597087054038678,0.783090505530043
"A2M-AS1",16.5462224243673,-1.03178410805685,0.587579509626875,-1.75599062110258,0.0790900100143059,0.2364414091405
"A4GALT",492.085708684434,-0.693506835942259,0.267523409764147,-2.59232205717498,0.00953304830247893,0.0576384621906363
"AAAS",719.269378155873,-0.572013920002708,0.224748378302718,-2.54513035565601,0.0109236950492107,0.0632934082671874
"AAAS_1",65.3511768464929,-0.540161863148813,0.340722149254756,-1.58534414134884,0.112888165055097,0.296990119160802
"AACS",1065.53204536678,-0.0287697596489274,0.22006676126935,-0.130731962805209,0.89598734666558,0.951373845795755
"AADAC",23.3543625148811,0.570658787569362,0.616199736744518,0.926093851620651,0.354397208940084,0.591786692332651
"AADACP1",77.3372178912479,0.926172353078999,0.383524637638007,2.41489662511115,0.0157396760908402,0.080924552500501
"AADAT",51.2947265426556,0.0309837902838137,0.347911883084467,0.089056430062469,0.929037063525724,0.967919922642223
"AAGAB",1643.57381879968,0.149911831769218,0.146297107282143,1.02470810636128,0.305500936945692,0.542148604151837
"AAK1",5891.91153745439,-0.0964124856775831,0.251267824798846,-0.383704064596279,0.701197799697398,0.845303615829561
"AAMDC",347.476086449085,0.296386157270732,0.183829055050147,1.61229223089832,0.106898363134493,0.287091497381206
"AAMP",2162.9563917769,0.0637172884130149,0.19549365410657,0.325930213459923,0.744477155761696,0.871047384568672
"AAR2",1174.04583865675,0.643247597075409,0.2047092358074,3.14225000419916,0.00167654815882355,0.0165388275027805
"AARD",1.23183931138439,2.08277301027559,2.2416698418463,0.929116755463044,0.352828581960765,NA
"AARS1",5288.17367908952,-0.284000932109295,0.365875081014519,-0.77622376282583,0.437616877769983,0.66486898534996
"AARS2",520.491054201002,-0.562342741509818,0.225727341455073,-2.49124779428523,0.0127295305878006,0.0702913168100512
"AARSD1",5.75961336447511,-0.489164683991908,0.789656894768866,-0.619464842556826,0.535610175872378,0.740987322647407
"AASDH",259.8752351702,-0.481989476777523,0.183319316601258,-2.62923452756432,0.00855773195740199,0.0535382450778497
"AASDHPPT",1241.57503960099,0.112855473059046,0.167563195267442,0.673509912955058,0.500622944367051,0.715010902832734
"AASS",1095.52331699589,-0.704867988034452,0.277269152464253,-2.54217961778249,0.0110163544886943,0.0636285997325856
"AATBC",18.1922321281815,-1.26162329806304,0.67168086883427,-1.87830762584118,0.0603390939456633,0.198942567623517
"AATF",977.166660842057,0.08105939599064,0.216414727221097,0.374555821738633,0.707990834055205,0.849500387994249
"AATF_1",722.998619695501,0.102753079774199,0.195330691821801,0.526046771328388,0.598855710593206,0.78399176652709
"AATK",52.4010078733169,-1.09072065270904,0.310515989728061,-3.51260704372826,0.000443733219227139,0.00622744354820997
"ABALON",44.4955112620062,0.00818990339103661,0.405682293436488,0.0201879735042436,0.983893421685303,0.99272083786044
"ABAT",182.599868484125,0.068760325775167,0.419717475479523,0.163825262926232,0.86986870342496,0.938814881970364
"ABCA1",434.70648493461,-2.89169120029789,1.11901898048345,-2.58413060969582,0.00976248168210098,0.0586074194877561
"ABCA10",8.9894105414997,0.131129654811663,0.651161139133182,0.20137819493685,0.840402863878401,0.923041784764741
"ABCA11P",127.364672451243,-0.309086147641392,0.24418889854783,-1.26576658267227,0.205596662429421,0.42849634714114
"ABCA12",1.64203642021748,-0.60067707633005,1.46870836106032,-0.408983221077599,0.682551974633935,NA
"ABCA13",14.147051059304,-0.0972156198894429,0.595496536508347,-0.163251360720685,0.870320528567625,0.938839186039947
"ABCA17P",1.39083983523541,3.86965395358602,1.89505865361021,2.04197054598499,0.0411544530924887,NA
"ABCA2",987.459087998914,-0.426948182091603,0.203792379224082,-2.09501544521519,0.0361696195062846,0.142920864127186
"ABCA3",1711.25246273746,-0.750372636969778,0.20767037708048,-3.61328682269874,0.000302339939746877,0.00465014880778825
"ABCA4",80.519493282004,-1.38500532264391,0.365961448525729,-3.78456618374254,0.000153976928886871,0.0027639425798495
"ABCA5",386.250997515302,-0.482591638026088,0.237321313403472,-2.03349472116577,0.0420025663554108,0.158102985544939
"ABCA6",2001.38873763941,-1.66775876548027,0.385126906552901,-4.33041352630392,1.48829583821073e-05,0.000446675664598317
"ABCA7",123.04076610367,-0.942004791340187,0.309810901689368,-3.04057987050658,0.00236123055382383,0.0213740557424262
"ABCA8",498.932840488623,-1.25359800716866,0.329843533182356,-3.80058385584779,0.000144355555930501,0.00262337406680544
"ABCA9",590.5231971246,-1.3830372915418,0.546365681852045,-2.53133997518594,0.0113627653140648,0.0649038981996686
"ABCB1",194.908734444581,0.945699025448196,0.261165164998403,3.6210764381765,0.000293379811847578,0.00455732059858039
"ABCB10",710.038846983841,-0.0340173975315451,0.207041018683133,-0.164302695900117,0.869492859514786,0.938726253004499
"ABCB11",49.2784499743818,0.202504137936058,0.440122521894766,0.460108555827272,0.645438303181405,0.812593381168176
"ABCB11_1",1.39561811732062,-0.334982022212452,1.58621501900969,-0.211183236949545,0.832744290758644,NA
"ABCB4",11.0006660388419,-1.24673524654103,0.676553609807298,-1.84277377057545,0.0653620479500295,0.209212595491994
"ABCB6",655.70663926447,-0.0441176187538915,0.42547251057648,-0.103690879333463,0.917414664874895,0.962390954920953
"ABCB7",663.819895174618,-0.279917017093747,0.215365787141257,-1.29972834037075,0.193694093469241,0.414643036511443
"ABCB8",560.268637827708,-0.11788029951401,0.248546596083155,-0.474278470804611,0.635301341955473,0.80753377442821
"ABCB9",305.784688863191,0.352522128392789,0.283694297242228,1.24261267082078,0.214010598446265,0.439452683426726
"ABCC1",3498.83080470736,0.333641331396273,0.317077813061533,1.05223802376714,0.29269035826718,0.527915693147601
"ABCC1_1",2130.81584043554,0.303891829017951,0.321715062970755,0.944599317830439,0.344863475435229,0.582583716830494
"ABCC10",441.805350396154,-0.776175304128619,0.298802443439778,-2.59762033801793,0.00938722213574972,0.0570817152643967
"ABCC11",2.47766907283588,1.88784580510287,1.42696876799574,1.32297626089915,0.185843272465878,NA
"ABCC2",100.953214373473,1.08679972729969,0.340548509104156,3.19132134848751,0.00141623665804421,0.0146354661775618
"ABCC3",66.111410561894,1.18696109288212,0.495819314464014,2.39393879636424,0.0166685299578937,0.08412591228485
"ABCC4",2677.40420853941,0.857271461317979,0.313296632728881,2.73629324979002,0.00621356265761793,0.0427700658973923
"ABCC5",966.663469850409,0.268286770489047,0.360162040186777,0.744905738400182,0.456328705857119,0.680611708523837
"ABCC6",9.67776551482979,-0.481465210662377,0.610319470388656,-0.78887407992371,0.430185606546329,0.658877542494295
"ABCC6_1",6.46036555764575,-0.818421054265708,0.729813867985246,-1.12141066396159,0.262113098983265,0.495410600727836
"ABCC6P1",1.88171866442107,-0.128209893374267,1.50613771078849,-0.0851249473775853,0.932162057148345,NA
"ABCC6P2",2.14470713655217,1.84479111306396,1.82571996560125,1.01044582292029,0.312281743391312,NA
"ABCD1",475.386516464643,0.123740078567171,0.214413496411264,0.577109559977634,0.563865446672298,0.760170623332699
"ABCD3",1247.09885352498,-0.318247240275197,0.308266382062293,-1.03237738136132,0.301895363642622,0.538599809828262
"ABCD4",772.042546825401,-0.594790356846062,0.215062404163919,-2.76566403671707,0.00568070263533431,0.0403431177497479
"ABCE1",4139.65415248809,-0.0289047306368986,0.179122696725514,-0.161368331123286,0.871803307861856,0.939522865823166
"ABCF1",529.762995909049,0.00829535454841611,0.196952639076531,0.042118524470204,0.966404212881963,0.985573461435139
"ABCF1_1",203.743662556131,-0.00305414965914233,0.205574649217342,-0.0148566453634726,0.988146548089575,0.994709349515697
"ABCF1_2",146.899501246732,0.0134239189208243,0.233552410392649,0.0574771157285679,0.954165134969591,0.97952687807274
"ABCF1_3",507.197019959116,0.0620733879531576,0.186335765385999,0.333126535448368,0.739038769848799,0.867658020263408
"ABCF1_4",514.312005681622,0.0761039550200382,0.201709209241266,0.377295391253107,0.705954096796334,0.848351902857019
"ABCF1_5",740.738756393756,0.00273357083207029,0.18510361562597,0.0147677873434622,0.988217438754627,0.994709349515697
"ABCF1_6",501.752475985553,0.0685372644739909,0.175744026385578,0.389983465632124,0.696548773394541,0.842888591145589
"ABCF2",817.344532593331,0.0930709939217329,0.183416365214867,0.507430151135657,0.611853034518853,0.791060141606237
"ABCF2-H2BK1",2.61489066194022,0.927875559580225,1.333990611532,0.695563785501173,0.486702052257051,NA
"ABCF3",1207.66339822058,-0.133047358720734,0.199780305571333,-0.665968341274904,0.505431336235224,0.71773277027
"ABCG1",413.314681310521,-1.08104413968935,0.418212379776041,-2.58491664036408,0.00974025433417664,0.058563004419074
"ABCG2",344.61291031808,-2.52563076266923,0.39503576204314,-6.39342309062494,1.62212605064624e-10,2.95350531773855e-08
"ABCG4",16.609752642064,-1.43345077804036,0.620335879052356,-2.31076554886708,0.0208458083968075,0.0979430240673791
"ABHD1",2.88320436498453,0.6371168898806,1.25003034361736,0.509681139448903,0.610274868478737,NA
"ABHD10",741.186342702178,-0.105859935926148,0.249120611092617,-0.424934474357049,0.670884442533652,0.828550954286715
"ABHD11",107.727069126962,-0.486826138436363,0.227371735722631,-2.14110226536793,0.0322657920479194,0.132202617310785
"ABHD11-AS1",2.19131535857412,0.0779602297737996,1.40987041899821,0.0552960248851768,0.955902629005084,NA
"ABHD12",1176.9498459566,0.6747769122685,0.268624009402014,2.51197543276428,0.0120057446238593,0.067250461681495
"ABHD12B",4.67612249045132,-0.959486512110943,0.898658363245764,-1.0676877346865,0.285661392938659,0.521362721737593
"ABHD13",970.175730260171,0.828286740411093,0.242781658437573,3.41165286431254,0.000645702852566477,0.00807978141553083
"ABHD14A",58.0048106148787,-0.585511653487457,0.35300107680851,-1.65866817965849,0.0971826747838432,0.269110425335677
"ABHD14B",482.10639297243,-0.266053323967063,0.345045701864155,-0.771066912381967,0.440667271464158,0.667724252663214
"ABHD15",165.680746887201,-0.757842969850213,0.372156981770146,-2.03635295580261,0.0417149257923715,0.157236977779684
"ABHD16A",144.856815811923,-0.0510239078973674,0.251668045503205,-0.20274289409824,0.839335994707478,0.92257951743906
"ABHD16A_1",28.9691888346122,-0.592724394567465,0.492440104706924,-1.2036476901495,0.228725778460381,0.456973501160578
"ABHD16A_2",25.6877649696792,0.194037360992091,0.409269584323181,0.474106477550672,0.635423979676268,0.80753377442821
"ABHD16A_3",210.986411501756,-0.44239383016335,0.274364783139496,-1.61242935445699,0.106868541402382,0.287074999934065
"ABHD16A_4",157.616899092419,-0.233646236010394,0.295104922322514,-0.791739541894346,0.428512560951954,0.657994115234672
"ABHD16A_5",56.3275511435332,-0.495797184401642,0.398221618746779,-1.24502829846842,0.213121348358803,0.438207564844439
"ABHD16A_6",77.8980778979569,-0.159445145885467,0.309494603425993,-0.515179082673711,0.606427884448982,0.788096546454737
