"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",9.6818029957394,-0.643842872652161,0.545859517098992,-1.17950288029035,0.238197990456617,0.388788605845269
"A1BG-AS1",4.04523189692032,-2.83350105260019,1.22698293066916,-2.30932393742012,0.0209256123061465,0.0628754300912356
"A2M",1227.90623705022,-0.357150800719347,0.487812642912703,-0.732147487172163,0.464078552094554,0.616962924405741
"A2M-AS1",33.5390001567631,-0.182790770792942,0.323561660509691,-0.564933343786779,0.57211910298281,0.710300234792791
"A2ML1",0.868252665702116,-0.310719205029866,1.78234142947524,-0.174332033072556,0.861604525928991,NA
"A3GALT2",0.881416382858161,-1.9673884270909,2.14816912297648,-0.915844290865196,0.359748569395218,NA
"A4GALT",504.229140473435,-0.250772849929453,0.219147183094038,-1.14431244969206,0.252494082014264,0.404323039210365
"AAAS",944.798772116591,-0.422949889165101,0.147368160648018,-2.87002217646793,0.00410443011848695,0.0178800827548702
"AAAS_1",93.0090506638308,-0.539381236874678,0.193593215346183,-2.78615774788469,0.00533369086697573,0.0218968490037591
"AACS",1207.00601914882,-0.0337347640137883,0.0907503682570045,-0.371731428331527,0.710092822756436,0.81722569919781
"AADAC",8.52114608293951,4.29435199398831,0.972916763066673,4.41389454577012,1.01527428025202e-05,0.000158143237651608
"AADACP1",23.2609195752126,1.48907175171884,0.372474502737574,3.99778170257191,6.39388757062902e-05,0.000690378431267753
"AADAT",118.16034088685,0.592140886420035,0.203196011741838,2.91413636194964,0.00356674072025687,0.0160202032396378
"AAGAB",1750.05340300899,0.0280279402608406,0.0723922901924539,0.387167475795125,0.69863222667467,0.809624870132586
"AAK1",4650.37130167753,-0.179901262036276,0.131021786457941,-1.37306372397864,0.169732537205698,0.304861517798567
"AAMDC",525.90062432194,-0.23613949720367,0.107459427466706,-2.1974758545669,0.027986479063974,0.0782960754586975
"AAMP",2339.16639183349,0.0881064056389333,0.0785064508382167,1.12228236913295,0.26174240009442,0.414572917232765
"AANAT",1.15854608547477,0.895112636793136,1.96129981337115,0.456387458302249,0.648111382824095,NA
"AAR2",1217.38996274439,-0.00718546119594434,0.0844427149857422,-0.0850927305825917,0.932187669501758,0.960095614883173
"AARD",1.14068384882874,0.650678628840264,1.4846394407099,0.438273840097589,0.661187787018753,NA
"AARS1",4460.51846861813,-0.135429233058543,0.129282144371736,-1.04754785524853,0.294846972834419,0.450820456904023
"AARS2",485.742988541266,-0.743493729300033,0.216512425722627,-3.43395408747819,0.000594844942027419,0.00402005652507915
"AARSD1",6.94798647386976,-0.55564808022097,0.624892025783896,-0.889190543796645,0.373900684022462,0.532758728479242
"AASDH",359.887040702092,-0.382180499068525,0.125548845025166,-3.0440781752466,0.00233394482844426,0.0115533889934036
"AASDHPPT",1937.31128696171,-0.156782241523571,0.124543042483264,-1.25885989612498,0.20808094143007,0.353098954360909
"AASS",1347.01303590268,-0.521553126280607,0.149812385776299,-3.48137521192269,0.000498846162196195,0.00348377726265025
